product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-02,9.74,496.85,512.04,15.19,-1.0,14.19,3.06,2.86
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-02,5.72,291.87,279.38,-12.49,-1.0,-13.49,-4.28,-4.62
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-02,69.67,487.68,475.72,-11.96,-11.58,-23.54,-2.45,-4.83
Europe,IESE.AS,15.0,2024-01-01,2024-01-02,58.12,871.76,959.4,87.64,-11.69,75.95,10.05,8.71
USA,UIMP.AS,9.0,2024-01-01,2024-01-02,151.45,1363.08,1632.6,269.52,-3.11,266.41,19.77,19.54
PayPal,PYPL,3.0,2024-01-01,2024-01-02,188.81,566.43,184.38,-382.05,-1.5,-383.55,-67.45,-67.71
Cloudflare,NET,0.0,2024-01-01,2024-01-02,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-02,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-02,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-02,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-02,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-02,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-02,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-02,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-02,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-02,6.64,93.02,95.5,2.48,-4.05,-1.57,2.66,-1.69
Full portfolio,,150.0,2024-01-01,2024-01-02,10.77,5931.05,4139.02,-31.67,28.27,-3.4,-0.53,-0.06
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-03,9.74,496.85,506.69,9.84,-1.0,8.84,1.98,1.78
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-03,5.72,291.87,278.15,-13.72,-1.0,-14.72,-4.7,-5.04
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-03,69.67,487.68,472.71,-14.97,-11.58,-26.55,-3.07,-5.44
Europe,IESE.AS,15.0,2024-01-01,2024-01-03,58.12,871.76,951.3,79.54,-11.69,67.85,9.12,7.78
USA,UIMP.AS,9.0,2024-01-01,2024-01-03,151.45,1363.08,1614.78,251.7,-3.11,248.59,18.47,18.24
PayPal,PYPL,3.0,2024-01-01,2024-01-03,188.81,566.43,175.89,-390.54,-1.5,-392.04,-68.95,-69.21
Cloudflare,NET,0.0,2024-01-01,2024-01-03,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-03,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-03,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-03,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-03,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-03,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-03,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
