product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Full portfolio,,0.0,2020-10-01,2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palantir Technologies,PLTR,7.0,2020-10-01,2020-12-01,27.26,190.82,179.69,-11.13,-1.02,-12.15,-5.83,-6.37
Full portfolio,,7.0,2020-10-01,2020-12-01,27.26,190.82,179.69,-11.13,-1.02,-12.15,-5.83,-6.37
Cloudflare,NET,2.0,2020-10-01,2021-01-01,67.44,134.87,151.98,17.11,-0.51,16.6,12.69,12.31
Emerging markets,SUSM.L,14.0,2020-10-01,2021-01-01,6.64,93.02,118.68,25.66,-4.05,21.61,27.59,23.24
Pacific,UIMT.AS,2.0,2020-10-01,2021-01-01,67.07,134.14,138.3,4.16,-2.04,2.12,3.1,1.58
Europe,IESE.AS,4.0,2020-10-01,2021-01-01,49.74,198.98,203.96,4.98,-2.06,2.92,2.5,1.47
USA,UIMP.AS,3.0,2020-10-01,2021-01-01,127.04,381.12,388.2,7.08,-2.11,4.97,1.86,1.3
Salesforce Inc.,CRM,1.0,2020-10-01,2021-01-01,183.91,183.91,221.55,37.64,-0.5,37.14,20.46,20.19
Palantir Technologies,PLTR,7.0,2020-10-01,2021-01-01,27.26,190.82,164.85,-25.97,-1.02,-26.99,-13.61,-14.14
Full portfolio,,33.0,2020-10-01,2021-01-01,39.9,1316.86,1387.52,70.66,-12.29,58.37,5.37,4.43
BlackBerry,BB.TO,0.0,2020-10-01,2021-02-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-02-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
GameStop,GME,1.0,2020-10-01,2021-02-01,285.21,285.21,56.25,-228.96,-0.5,-229.46,-80.28,-80.45
Palantir Technologies,PLTR,0.0,2020-10-01,2021-02-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-02-01,300.16,300.16,374.87,74.71,-0.5,74.21,24.89,24.72
Cloudflare,NET,2.0,2020-10-01,2021-02-01,67.44,134.87,160.96,26.09,-0.51,25.58,19.34,18.97
