Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,Unnamed: 8,Lokale waarde,Unnamed: 10,Waarde,Unnamed: 12,Wisselkoers,Transactiekosten en/of,Unnamed: 15,Totaal,Unnamed: 17,Order ID
25-10-2024,10:24,ISHARES MSCI WORLD SRI UCITS ETF,IE00BYX2JD69,XET,XETA,46.0,11.46,EUR,-527.16,EUR,-527.16,EUR,,-1.0,EUR,-528.16,EUR,8b995f92-ab6b-4091-9886-a49a2123b46e
25-10-2024,10:23,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,6.0,12.138,EUR,-72.83,EUR,-72.83,EUR,,-3.0,EUR,-75.83,EUR,7556071f-2abd-4b2a-8be3-c664433997d9
02-08-2024,14:21,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,14.0,11.178,EUR,-156.49,EUR,-156.49,EUR,,-3.0,EUR,-159.49,EUR,4614ecad-4c1a-4626-99a1-9cd1f49a4172
02-08-2024,14:17,ISHARES MSCI WORLD SRI UCITS ETF,IE00BYX2JD69,XET,XETA,14.0,10.74,EUR,-150.36,EUR,-150.36,EUR,,-1.0,EUR,-151.36,EUR,4407e0f5-68b6-49cb-95c8-87c257022120
17-07-2024,16:36,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,13.0,12.022,EUR,-156.29,EUR,-156.29,EUR,,-3.0,EUR,-159.29,EUR,cc0ae71f-426d-46fd-bc07-6c46e240e08e
17-07-2024,16:00,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,CDED,-3.0,61.78,USD,185.34,USD,169.46,EUR,1.0937,-2.0,EUR,167.46,EUR,dec57795-7f62-4baf-a07e-fecd5c55fcbc
16-04-2024,16:21,ISHARES MSCI WORLD SRI UCITS ETF,IE00BYX2JD69,XET,XETA,26.0,10.412,EUR,-270.71,EUR,-270.71,EUR,,-1.0,EUR,-271.71,EUR,99b98944-4d7c-41e4-b108-cd528708c95e
16-04-2024,16:20,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,3.0,10.722,EUR,-32.17,EUR,-32.17,EUR,,-3.0,EUR,-35.17,EUR,6551aab7-6cc2-442d-b51f-580a1798e7c2
16-01-2024,11:56,ISHARES MSCI WORLD SRI UCITS ETF,IE00BYX2JD69,XET,XETA,51.0,10.052,EUR,-512.65,EUR,-512.65,EUR,,-1.0,EUR,-513.65,EUR,c7ba7835-eb58-485a-bd9a-29ebde98cae7
07-06-2023,10:06,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,8.0,8.91,EUR,-71.28,EUR,-71.28,EUR,,-1.0,EUR,-72.28,EUR,44ff3341-4f43-454a-b40e-c090f9a2a1b4
07-06-2023,10:05,ISHARES MSCI EM IMI ESG SCREENED UCITS ETF USD ACC,IE00BFNM3P36,XET,XETA,19.0,5.421,EUR,-103.0,EUR,-103.0,EUR,,-1.0,EUR,-104.0,EUR,35a81429-190f-414c-8b6f-711a2334a350
07-06-2023,10:05,UBS ETF (LU) MSCI PACIFIC SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460832,EAM,XAMS,2.0,68.51,EUR,-137.02,EUR,-137.02,EUR,,-3.0,EUR,-140.02,EUR,9562714c-cdb4-4c2a-a3fe-b836afd1b71c
07-06-2023,10:03,ISHARES MSCI EUROPE SRI UCITS ETF EUR (ACC),IE00B52VJ196,EAM,XAMS,3.0,61.3,EUR,-183.9,EUR,-183.9,EUR,,-3.0,EUR,-186.9,EUR,22aeabc6-4730-4967-b554-673902049f96
07-06-2023,10:02,UBS ETF (LU) MSCI USA SOCIALLY RESPONSIBLE,LU0629460089,XET,XETA,2.0,164.04,EUR,-328.08,EUR,-328.08,EUR,,-1.0,EUR,-329.08,EUR,bc21313e-54b8-411c-a41a-8b3380c42ceb
,,UCITS ETF (USD) A-DIS,,,,,,,,,,,,,,,,
17-05-2022,12:16,UBS ETF (LU) MSCI USA SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460089,XET,XETA,1.0,156.3,EUR,-156.3,EUR,-156.3,EUR,,,EUR,-156.3,EUR,7dfcad34-2a03-4203-bb60-3ea483390e05
17-05-2022,12:05,UBS ETF (LU) MSCI PACIFIC SOCIALLY RESPONSIBLE UCITS ETF (USD) A-DIS,LU0629460832,EAM,XAMS,1.0,68.13,EUR,-68.13,EUR,-68.13,EUR,,-2.5,EUR,-70.63,EUR,144fe7e9-f645-4ea7-b969-6debcec361df
17-05-2022,12:01,ISHARES MSCI EM IMI ESG SCREENED UCITS ETF USD ACC,IE00BFNM3P36,XET,XETA,5.0,5.539,EUR,-27.7,EUR,-27.7,EUR,,,EUR,-27.7,EUR,f78f9258-5d82-44e5-a122-2d8e6eaadff7
17-05-2022,11:58,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,8.0,7.944,EUR,-63.55,EUR,-63.55,EUR,,,EUR,-63.55,EUR,86569ce4-5861-4bac-a57e-e84745bbea8e
17-05-2022,11:58,ISHARES NASDAQ 100 UCITS ETF EUR HEDGED ACC,IE00BYVQ9F29,XET,XETA,3.0,7.94,EUR,-23.82,EUR,-23.82,EUR,,,EUR,-23.82,EUR,86569ce4-5861-4bac-a57e-e84745bbea8e
17-05-2022,11:47,ISHARES MSCI EUROPE SRI UCITS ETF EUR (ACC),IE00B52VJ196,EAM,XAMS,1.0,56.69,EUR,-56.69,EUR,-56.69,EUR,,-2.5,EUR,-59.19,EUR,50746448-3d16-4c5a-84d9-7c254d659477
